21;Antarctica;9330;Sarajevo;5465;9985;15450
4;United States Minor Outlying Islands;3458;Kyoto;3882;7146;11028
15;Vanuatu;1328;Turin;1702;4786;6488
3;Estonia;4932;Daegu;8620;3528;12148
27;Kyrgyzstan;9749;Punta Arenas;3755;4426;8181
71;Malaysia;5596;Tashkent;4174;4992;9166
37;Malta;6281;Vilnius;7696;9897;17593
27;Philippines;7886;Buenos Aires;4803;7001;11804
100;Tunisia;8319;Jerusalem;9296;5340;14636
8;Oman;8779;Pueblo;1622;9414;11036
12;Zimbabwe;1762;Roseau;6735;9327;16062
64;Anguilla;7478;Skopje;6339;5792;12131
82;Saint Lucia;9137;Tokyo;5532;3269;8801
3;American Samoa;5198;Brikama;4831;4621;9452
91;Solomon Islands;1183;Christchurch;4284;5624;9908
91;Turkey;3189;Regina;3879;9271;13150
93;Dominican Republic;4779;San Diego;5804;6356;12160
27;Algeria;9157;Tel Aviv;7483;6011;13494
1;Solomon Islands;8979;Tortuga;7852;1125;8977
